"No","ファイル名","評価コード","評価","メモ"
"1","スクリーンショット 2026-03-28 15.36.40_overlay.png","T","🔺部分的",""
"2","スクリーンショット 2026-03-28 15.37.08_overlay.png","T","🔺部分的",""
"3","スクリーンショット 2026-03-28 15.37.32_overlay.png","T","🔺部分的",""
"4","スクリーンショット 2026-03-28 15.38.12_overlay.png","O","⭕️合格",""
"5","スクリーンショット 2026-03-28 15.39.54_overlay.png","T","🔺部分的",""
"6","スクリーンショット 2026-03-28 15.40.16_overlay.png","O","⭕️合格",""
"7","スクリーンショット 2026-03-28 15.40.37_overlay.png","X","❌不合格",""
"8","スクリーンショット 2026-03-28 15.41.14_overlay.png","X","❌不合格",""
"9","スクリーンショット 2026-03-28 15.41.30_overlay.png","O","⭕️合格",""
"10","スクリーンショット 2026-03-28 15.42.34_overlay.png","T","🔺部分的",""
"11","スクリーンショット 2026-03-28 15.43.31_overlay.png","T","🔺部分的",""
"12","スクリーンショット 2026-03-28 15.44.13_overlay.png","O","⭕️合格",""
"13","スクリーンショット 2026-03-28 15.45.38_overlay.png","O","⭕️合格",""
"14","スクリーンショット 2026-03-28 15.46.15_overlay.png","T","🔺部分的",""
"15","スクリーンショット 2026-03-28 15.54.39_overlay.png","O","⭕️合格",""
"16","スクリーンショット 2026-03-28 15.57.04_overlay.png","T","🔺部分的",""
"17","スクリーンショット 2026-03-28 15.57.31_overlay.png","T","🔺部分的",""
"18","スクリーンショット 2026-03-28 15.57.57_overlay.png","O","⭕️合格",""
"19","スクリーンショット 2026-03-28 15.58.19_overlay.png","O","⭕️合格",""
"20","スクリーンショット 2026-03-28 15.59.46_overlay.png","O","⭕️合格",""
"21","スクリーンショット 2026-03-28 16.00.21_overlay.png","X","❌不合格",""
"22","スクリーンショット 2026-03-28 16.00.54_overlay.png","T","🔺部分的",""
"23","スクリーンショット 2026-03-28 16.01.14_overlay.png","T","🔺部分的",""
"24","スクリーンショット 2026-03-28 16.03.17_overlay.png","O","⭕️合格",""
"25","スクリーンショット 2026-03-28 16.03.45_overlay.png","T","🔺部分的",""
"26","スクリーンショット 2026-03-28 16.04.35_overlay.png","O","⭕️合格",""
"27","スクリーンショット 2026-03-28 16.05.37_overlay.png","O","⭕️合格",""
"28","スクリーンショット 2026-03-28 16.05.58_overlay.png","O","⭕️合格",""
"29","スクリーンショット 2026-03-28 16.06.17_overlay.png","T","🔺部分的",""
"30","スクリーンショット 2026-03-28 16.06.46_overlay.png","O","⭕️合格",""
"31","スクリーンショット 2026-03-28 16.07.17_overlay.png","O","⭕️合格",""
"32","スクリーンショット 2026-03-28 16.07.36_overlay.png","O","⭕️合格",""
"33","スクリーンショット 2026-03-28 16.07.50_overlay.png","O","⭕️合格",""
"34","スクリーンショット 2026-03-28 16.08.44_overlay.png","O","⭕️合格",""
"35","スクリーンショット 2026-03-28 16.09.50_overlay.png","T","🔺部分的",""
"36","スクリーンショット 2026-03-28 16.10.33_overlay.png","O","⭕️合格",""
"37","スクリーンショット 2026-03-28 16.13.07_overlay.png","O","⭕️合格",""
"38","スクリーンショット 2026-03-28 16.14.00_overlay.png","O","⭕️合格",""
"39","スクリーンショット 2026-03-28 16.16.29_overlay.png","O","⭕️合格",""
"40","スクリーンショット 2026-03-28 16.16.50_overlay.png","T","🔺部分的",""
"41","スクリーンショット 2026-03-28 16.19.41_overlay.png","O","⭕️合格",""
"42","スクリーンショット 2026-03-28 16.20.04_overlay.png","X","❌不合格",""
"43","スクリーンショット 2026-03-28 16.20.37_overlay.png","T","🔺部分的",""
"44","スクリーンショット 2026-03-28 16.21.04_overlay.png","T","🔺部分的",""
"45","スクリーンショット 2026-03-28 16.21.30_overlay.png","T","🔺部分的",""
"46","スクリーンショット 2026-03-28 16.22.17_overlay.png","T","🔺部分的",""
"47","スクリーンショット 2026-03-28 16.22.47_overlay.png","X","❌不合格",""
"48","スクリーンショット 2026-03-28 16.23.04_overlay.png","T","🔺部分的",""
"49","スクリーンショット 2026-03-28 16.23.37_overlay.png","X","❌不合格",""
"50","スクリーンショット 2026-03-28 16.24.10_overlay.png","T","🔺部分的",""
"51","スクリーンショット 2026-03-28 16.24.36_overlay.png","X","❌不合格",""
"52","スクリーンショット 2026-03-28 16.24.51_overlay.png","T","🔺部分的",""
"53","スクリーンショット 2026-03-28 16.25.31_overlay.png","O","⭕️合格",""
"54","スクリーンショット 2026-03-28 16.26.26_overlay.png","T","🔺部分的",""
"55","スクリーンショット 2026-03-28 16.26.45_overlay.png","O","⭕️合格",""
"56","スクリーンショット 2026-03-28 16.27.31_overlay.png","O","⭕️合格",""
"57","スクリーンショット 2026-03-28 16.28.11_overlay.png","O","⭕️合格",""
"58","スクリーンショット 2026-03-28 16.29.03_overlay.png","O","⭕️合格",""
"59","スクリーンショット 2026-03-28 16.29.23_overlay.png","T","🔺部分的",""
"60","スクリーンショット 2026-03-28 16.30.05_overlay.png","O","⭕️合格",""
"61","スクリーンショット 2026-03-28 16.30.57_overlay.png","T","🔺部分的",""
"62","スクリーンショット 2026-03-28 16.31.40_overlay.png","T","🔺部分的",""
"63","スクリーンショット 2026-03-28 16.32.11_overlay.png","O","⭕️合格",""
"64","スクリーンショット 2026-03-28 16.33.05_overlay.png","O","⭕️合格",""
"65","スクリーンショット 2026-03-28 16.33.25_overlay.png","T","🔺部分的",""
"66","スクリーンショット 2026-03-28 16.33.44_overlay.png","T","🔺部分的",""
"67","スクリーンショット 2026-03-28 16.34.12_overlay.png","T","🔺部分的",""
"68","スクリーンショット 2026-03-28 16.34.57_overlay.png","T","🔺部分的",""
"69","スクリーンショット 2026-03-28 16.35.35_overlay.png","T","🔺部分的",""
"70","スクリーンショット 2026-03-28 16.36.23_overlay.png","T","🔺部分的",""
"71","スクリーンショット 2026-03-28 16.37.10_overlay.png","T","🔺部分的",""
"72","スクリーンショット 2026-03-28 16.37.54_overlay.png","T","🔺部分的",""
"73","スクリーンショット 2026-03-28 16.38.35_overlay.png","T","🔺部分的",""
"74","スクリーンショット 2026-03-28 16.38.52_overlay.png","T","🔺部分的",""
"75","スクリーンショット 2026-03-28 16.38.59_overlay.png","T","🔺部分的",""
"76","スクリーンショット 2026-03-28 16.39.27_overlay.png","T","🔺部分的",""
"77","スクリーンショット 2026-03-28 16.40.02_overlay.png","X","❌不合格",""
"78","スクリーンショット 2026-03-28 16.40.53_overlay.png","O","⭕️合格",""
"79","スクリーンショット 2026-03-28 16.41.16_overlay.png","O","⭕️合格",""
"80","スクリーンショット 2026-03-28 16.41.41_overlay.png","T","🔺部分的",""
"81","スクリーンショット 2026-03-28 16.42.21_overlay.png","T","🔺部分的",""
"82","スクリーンショット 2026-03-28 16.42.37_overlay.png","T","🔺部分的",""
"83","スクリーンショット 2026-03-28 16.42.55_overlay.png","O","⭕️合格",""
"84","スクリーンショット 2026-03-28 16.43.38_overlay.png","X","❌不合格",""
"85","スクリーンショット 2026-03-28 16.44.47_overlay.png","T","🔺部分的",""
"86","スクリーンショット 2026-03-28 16.45.51_overlay.png","O","⭕️合格",""
"87","スクリーンショット 2026-03-28 16.47.09_overlay.png","O","⭕️合格",""
"88","スクリーンショット 2026-03-28 16.48.05_overlay.png","T","🔺部分的",""
"89","スクリーンショット 2026-03-28 16.48.30_overlay.png","T","🔺部分的",""
"90","スクリーンショット 2026-03-28 16.49.58_overlay.png","T","🔺部分的",""
